,Unnamed: 0,prompt,completion
90,90,Customer: help me deleting some products from order 113542617735902, change order
91,91,Customer: I am trying to find information about the delivery periods, delivery period
92,92,Customer: do you have a toll-free number to speak to customer service?, contact customer service
93,93,Customer: I have a problem with my PIN retrieval, recover password
94,94,Customer: can I check the early termination charge?, check cancellation fee
95,95,Customer: need to purchase some items, place order
96,96,Customer: help to submit feedabck for your services, review
97,97,Customer: I try to check at what time I can contact customer support, contact customer service
98,98,Customer: i dont know how to  get my invoices from Ms. Hawkings, get invoice
99,99,Customer: i expect a reimbursement of 350 dollars, track refund
100,100,Customer: I have to inform of problems with a signup, registration problems
101,101,Customer: rebatingg $160, get refund
102,102,Customer: need to cancel order 00004587345, cancel order
103,103,Customer: want assistance to sove a problem with online payment, payment issue
104,104,Customer: help checking how long refunds usually take, check refund policy
105,105,Customer: opening new Pro account, create account
106,106,Customer: how to check how long it takes for my shipment to arrive?, delivery period
107,107,Customer: I want help to check my bill from Mr. Smith, check invoice
108,108,Customer: can i set up my shipping address, set up shipping address
109,109,Customer: I expect a reimbursement of $1499, track refund
110,110,Customer: i expect an rebate of $160 has it been processed, track refund
111,111,Customer: I  expect a compensation of 299 dollars, track refund
112,112,Customer: updating info on  Premium account, edit account
113,113,Customer: help me enter the new delivery address, set up shipping address
114,114,Customer: I would like to sign up to the company newsletter, newsletter subscription
115,115,Customer: i have to get the invoice #00108, get invoice
116,116,"Customer: I want to list your accepted payment options, I need help", check payment methods
117,117,Customer: i have to submit a shipping address, set up shipping address
118,118,Customer: is it possible to change to the premium account?, switch account
119,119,Customer: i have problems trying to edit my address, change shipping address
120,120,Customer: want help demanding reimbursements, get refund
121,121,Customer: how do I see order 00004587345 current status?, track order
122,122,Customer: where to check what payment options you accept?, check payment methods
123,123,Customer: I don't know how I can file a reclamation, complaint
124,124,Customer: i do not knopw how to inform of problems with registrations, registration problems
125,125,Customer: I am trying to see the accepted payment modalities, check payment methods
126,126,Customer: i dont want order 732201349959 i need help canceling it, cancel order
127,127,Customer: checking invoice from last month, check invoice
128,128,Customer: can i place an order from Toronto, delivery options
129,129,Customer: find information about forgotten pin code, recover password
130,130,Customer: is it possible to modify my damn shipping address, change shipping address
131,131,Customer: can you help me to check how soon can I expect my product?, delivery period
132,132,Customer: assistance to ue my new profile, switch account
133,133,Customer: i cant restore my user key, recover password
134,134,Customer: can you help me checking the accepted payment methods?, check payment methods
135,135,Customer: help updating order 00123842, change order
136,136,Customer: I need information about the subscription to your newsletter, newsletter subscription
137,137,Customer: assistance to report errors with a signup, registration problems
138,138,Customer: update information on standard account, edit account
139,139,Customer: can you tell me at what time I can call customer assistance?, contact customer service
140,140,Customer: update purchase 732201349959, change order
141,141,Customer: shipments to USA, delivery options
142,142,Customer: see in what situations can i request the goddamn refunds, check refund policy
143,143,Customer: would itr be possible to place a damn order from Munich, delivery options
144,144,Customer: can I place an order from Toronto?, delivery options
145,145,Customer: i have to add an item to purchase 370795561790, change order
146,146,Customer: open premium account for bride, create account
147,147,Customer: how can I check how long it takes for my order to arrive?, delivery period
148,148,Customer: how do I ask for a compensation?, get refund
149,149,Customer: can ya help me open a damn freemium account, create account
150,150,Customer: switching to Freemium account, switch account
151,151,Customer: I need assistance seeing my bill #12588, check invoice
152,152,"Customer: I haqve to sign up to your newsletter, how to do it?", newsletter subscription
153,153,Customer: updating platinum account, edit account
154,154,Customer: can I edit order 370795561790?, change order
155,155,Customer: where can I unsubscribe from your corporate newsletter?, newsletter subscription
156,156,"Customer: I have got to edit order 370795561790, can you help me?", change order
157,157,Customer: I want to check te ETA of purchase 00004587345, track order
158,158,Customer: I'd like to switch to the damn Premium account how to do it, switch account
159,159,Customer: ineed assistance to see purchase 00004587345 status, track order
160,160,Customer: check ETA of order 113542617735902, track order
161,161,Customer: can I change some fucking products of purchase 00123842?, change order
162,162,"Customer: I cannot understand you, need help talking with a live agent", contact human agent
163,163,"Customer: I want to use the Platinum profile, how can I do it?", switch account
164,164,Customer: information about my pwd reset, recover password
165,165,Customer: I want help  talking with an agent, contact human agent
166,166,Customer: i cant change my delivery address, change shipping address
167,167,Customer: assistance to see the withdrawal fees, check cancellation fee
168,168,Customer: how to talk with customer support?, contact customer service
169,169,Customer: I do not know how to notify of a problem with payments, payment issue
170,170,Customer: I don't know what to do to change  the shipping address, change shipping address
171,171,Customer: report registration issue, registration problems
172,172,Customer: I need assistance creating a Premium account for my fiancee, create account
173,173,Customer: check invoice from last purchase, check invoice
174,174,Customer: I don't know how I can check when will my purchase arrive, delivery period
175,175,Customer: I have issues with my sign-up, registration problems
176,176,Customer: give me information about the deletion of my premium account, delete account
177,177,Customer: want assistance cancelling purchase 370795561790, cancel order
178,178,Customer: where can i leave a comment for ur company, review
179,179,Customer: correct the shipping address, change shipping address
180,180,Customer: i need help canceling purchase 732201349959, cancel order
181,181,Customer: where to retrieve the pass of my account?, recover password
182,182,Customer: need assisxtance to file a reclamation against ur business, complaint
183,183,Customer: wanna see the ETA of the purchase 113542617735902, track order
184,184,Customer: could you help me cancelling purchase 732201349959?, cancel order
185,185,"Customer: I would like to edit my user, I need assistance", edit account
186,186,Customer: need to check ur fucking available payment options, check payment methods
187,187,Customer: how can I check what hours I can call customer service?, contact customer service
188,188,Customer: do you ship to Toronto?, delivery options
189,189,Customer: need to see the eta of purchase 00123842, track order
190,190,Customer: i forgot the pass of my user i have to resety it, recover password
191,191,Customer: want help to see in what cases can I ask for reimbursements, check refund policy
192,192,Customer: I can't find anything about the early termination fees, check cancellation fee
193,193,Customer: I'm trying to demand a compensation of my money, get refund
194,194,Customer: see the status of my corporate newsletter subscription, newsletter subscription
195,195,Customer: I try to shop a few of your item, place order
196,196,Customer: open anotherstandard account, create account
197,197,"Customer: I want to lodge a consumer reclamation, I need assistance", complaint
198,198,Customer: i dont know wshat i have to do to get invoice #12588, get invoice
199,199,Customer: I do not know what I need to do to order an few of your item, place order
200,200,Customer: can uhlep me cancelling purchase 732201349959, cancel order
201,201,Customer: I need assistance lodging a customer claim, complaint
202,202,Customer: where do i make a consumer claim against ur business, complaint
203,203,Customer: where do I submit a shipping address?, set up shipping address
204,204,Customer: help me modify order 370795561790, change order
205,205,Customer: can  i swap some items of order 732201349959, change order
206,206,Customer: I need to see what hours I can contact customer assistance, contact customer service
207,207,Customer: can you help me obtain a reimbursement?, get refund
208,208,Customer: I want assistance seeing the ETA of the order 00004587345, track order
209,209,Customer: can i check ur erimbursement policy, check refund policy
210,210,Customer: I want help canceling puurchase 00004587345, cancel order
211,211,Customer: see cancellationcharges, check cancellation fee
212,212,Customer: correcting information on pro account, edit account
213,213,Customer: I do not know what I need to do to chay with an assistant, contact human agent
214,214,Customer: i have got to check in which cases can i ask for a refund, check refund policy
215,215,Customer: question about  forgotten pass, recover password
216,216,Customer: I need assistance chatting with an agent, contact human agent
217,217,Customer: what options for shipping can I choose?, delivery options
218,218,Customer: want support correcting my delivery address, change shipping address
219,219,Customer: I try to see what hours I can reach customer service, contact customer service
220,220,Customer: how to see order 00123842 status, track order
221,221,Customer: I try to check the allowed payment methods, check payment methods
222,222,Customer: i want  help changing to the Pro account, switch account
223,223,Customer: can i check in what cases can i ask for reimbursements, check refund policy
224,224,Customer: how can i get information about platinum account removals, delete account
225,225,Customer: I don't know how I can check your accepted payment methods, check payment methods
226,226,Customer: help me seeing when will my purchase arrive, delivery period
227,227,Customer: receive money back, get refund
228,228,Customer: can i give a quick look at the bill from David Miller, check invoice
229,229,Customer: how do i list ur avaqilable payment options, check payment methods
230,230,Customer: where to see the payment options?, check payment methods
231,231,Customer: I am waiting for a restitution of 1200 dollars, track refund
232,232,Customer: what do i have to do to add sometthing to order 00004587345, change order
233,233,Customer: i do not know how to retrieve my user access key, recover password
234,234,Customer: could uhelp me speaking to an human agent, contact human agent
235,235,Customer: assistance checking how soon can i expect the parcel, delivery period
236,236,Customer: i have got to see the status of order 00004587345 help me, track order
237,237,Customer: need to inform of a trouble with online payments, payment issue
238,238,"Customer: I need to submit my feedback about your products, help me", review
239,239,Customer: help me to lodge a customer claim against your company, complaint
240,240,Customer: how to write a comment for your services?, review
241,241,Customer: I want assistance opening a pro account, create account
242,242,Customer: problem with my forgotten password, recover password
243,243,Customer: I want assistance to acquire several of your article, place order
244,244,Customer: need help making a claim against your organization, complaint
245,245,Customer: opening new standard account, create account
246,246,Customer: i need help tocancel order 00004587345, cancel order
247,247,Customer: help seeing in what situations can I ask to be refunded, check refund policy
248,248,Customer: check bill #37777, check invoice
249,249,Customer: is there an addres to leave an opinion?, review
250,250,Customer: deliveries to Valencia, delivery options
251,251,Customer: how to leave an opinion for a product, review
252,252,Customer: is there an address to leave an opinion about a product?, review
253,253,Customer: can you help me seeing when my shipment is going to arrive?, delivery period
254,254,Customer: making consumer reclamation against ur business, complaint
255,255,Customer: can ya help me to get the invoices from Anna Freeman, get invoice
256,256,Customer: could I unsubscribe to the corporate newsletter?, newsletter subscription
257,257,Customer: how do I see the termination fees?, check cancellation fee
258,258,Customer: i need help speaking to somebody, contact human agent
259,259,Customer: help me to lodge a consumer reclamation, complaint
260,260,Customer: can you help me acquiring an article?, place order
261,261,Customer: I don't know how I can see the invoice from David Miller, check invoice
262,262,Customer: I need  help to lodge a reclamation against your business, complaint
263,263,Customer: give me information about the shipping periods, delivery period
264,264,Customer: I have to switch a product of order 732201349959, change order
265,265,Customer: I need help to swap some items of purchase 370795561790, change order
266,266,Customer: help me to give a quick look at the bills from Anna Freeman, check invoice
267,267,Customer: help to see what delivery options I have, delivery options
268,268,Customer: could you help me check the refund status?, track refund
269,269,Customer: i paid $160 for an order where could ii get a reimbursement, get refund
270,270,Customer: I need to find the bills from Mr. Smith, check invoice
271,271,Customer: need assistance to switch to the Premium account, switch account
272,272,Customer: I need help speaking to a bloody live agent, contact human agent
273,273,Customer: I need support modifying my delivery address, change shipping address
274,274,Customer: I want to order a few of your item, place order
275,275,Customer: help me notifying of issues with a signup, registration problems
276,276,Customer: my experience with uhas been bad help to file a complaint, complaint
277,277,Customer: want assistance checking ur payment modalities, check payment methods
278,278,Customer: help me informing of a signup problem, registration problems
279,279,Customer: update info on free acount, edit account
280,280,Customer: I try to report troublles with online payments, payment issue
281,281,Customer: where do i  lodge a customer claim against ur business, complaint
282,282,Customer: where do I check at what time I can reach customer service?, contact customer service
283,283,Customer: modifying details on pro account, edit account
284,284,Customer: I do not know how to file a complaint, complaint
285,285,Customer: I want assistance to download bill #85632, get invoice
286,286,Customer: check refund status, track refund
287,287,Customer: i have problems with my Gold account removal, delete account
288,288,Customer: get bills from Ms. Hawkings, get invoice
289,289,Customer: what do I need to di to see when will my package arrive?, delivery period
290,290,Customer: using standard account, switch account
291,291,"Customer: I have got to set u my delivery address, I need help", set up shipping address
292,292,Customer: I need assistance to report an error with registrations, registration problems
293,293,Customer: help me to add something to purchase 732201349959, change order
294,294,Customer: is it possible to contact a live agent?, contact human agent
295,295,Customer: I have issues submitting another shipping address, set up shipping address
296,296,Customer: i do not understand uneed help chatting with someone, contact human agent
297,297,Customer: I  expect a compensation of 1200 dollars, track refund
298,298,Customer: see at what time i can get in touch with customer support, contact customer service
299,299,"Customer: I do not understand you, I need help contacting somebody", contact human agent
300,300,Customer: I need help notifyuing of an error with a sign-up, registration problems
301,301,Customer: do you ship to Mexico ?, delivery options
302,302,Customer: get invoices from October, get invoice
303,303,Customer: in what cases can I request my money back?, check refund policy
304,304,Customer: I am wating for a reimbursement of $350, track refund
305,305,Customer: need to see in what situations can i ask for reimbhursements, check refund policy
306,306,Customer: I need assistance with editing order 113542617735902, change order
307,307,Customer: how can I add something to purchase 00004587345?, change order
308,308,Customer: can uhelp me seeing the ETA of the order 113542617735902, track order
309,309,Customer: change detalis on Pro account, edit account
310,310,Customer: help checking at what time i can reach customer service, contact customer service
311,311,Customer: I have to edit my  address, change shipping address
312,312,Customer: I want help checking the early termination fees, check cancellation fee
313,313,Customer: would you give me information about a PIN code reset?, recover password
314,314,Customer: update data on free account, edit account
315,315,Customer: i cannot pay want assistance to report a payment issuew, payment issue
316,316,Customer: want help tracking order 113542617735902, track order
317,317,Customer: need help to check the early termination fee, check cancellation fee
318,318,Customer: I want assistance to speak with someone, contact human agent
319,319,Customer: i dont know what i have to do to lodge a consumer claim, complaint
320,320,Customer: how can I see your reimbursement policy?, check refund policy
321,321,Customer: I have to change my delivery address, change shipping address
322,322,Customer: I xepect a compensation of $1499, track refund
323,323,Customer: where can i get information about editing the address, change shipping address
324,324,Customer: wanna change some articles of order 732201349959 help me, change order
325,325,Customer: i do not know what i have to do to download bill #85632, get invoice
326,326,Customer: i need assistance notifying of a registration problem, registration problems
327,327,Customer: is it possible to lodge a consumer claim, complaint
328,328,Customer: i aint registered yet i need to open a Platinum account, create account
329,329,Customer: I need assistance recovering my account PIN, recover password
330,330,Customer: how can i check the early termination penalties, check cancellation fee
331,331,Customer: I do not know how I can acquire an item, place order
332,332,Customer: getting invoice from David Miller, get invoice
333,333,Customer: acn i order from Hungary, delivery options
334,334,Customer: where do I change to the Gold account?, switch account
335,335,Customer: where do I download my invoices from Ms. Hawkings?, get invoice
336,336,Customer: create platinum account, create account
337,337,"Customer: I need a damn Platinum account, could I open it?", create account
338,338,Customer: I want supports trying to change my delivbery address, change shipping address
339,339,Customer: i do not know how i can submit my feedback for ur company, review
340,340,Customer: is it possible to remove a product from order 732201349959?, change order
341,341,"Customer: I have got to see how long reimbursements take, help me", check refund policy
342,342,Customer: i have got to check when my product is gonna arrive, delivery period
343,343,Customer: change order 370795561790, change order
344,344,Customer: information about my PIN code recovery, recover password
345,345,Customer: i dont know what i have to do to download my invoice #85632, get invoice
346,346,Customer: where do i demand rebates of money, get refund
347,347,Customer: want help submitting a new delivery address, set up shipping address
348,348,Customer: i  have to get my invoice #85632 can i get some help, get invoice
349,349,Customer: I want assisance to inform of a problem with payment, payment issue
350,350,Customer: i expect a restitution of 1499 dollars, track refund
351,351,Customer: issues changing shipping address, change shipping address
352,352,"Customer: I have got to shop some items, I need help", place order
353,353,Customer: I am waiting for a reimbursement of $1499, track refund
354,354,Customer: i dont understand ui wanna contact a live agent, contact human agent
355,355,Customer: I'm waiting for a compensation of $350, track refund
356,356,Customer: I want help to solve an error with online payments, payment issue
357,357,Customer: what do I have to do to deleet a premium account?, delete account
358,358,Customer: what do I need to do to cancel purchase 370795561790?, cancel order
359,359,Customer: where can I get information about a delivery address change?, change shipping address
360,360,Customer: assistance to check the  cancellation fee, check cancellation fee
361,361,Customer: need assistance to recover the PIN of my profile, recover password
362,362,Customer: where to submit my feedback for your company?, review
363,363,Customer: I do not know what to do to purchase several items, place order
364,364,"Customer: I forgot the PIN of my user account, help recovering it", recover password
365,365,Customer: I don't know how to modify the delivery address, change shipping address
366,366,"Customer: I have to see the cancellation penalties, I need help", check cancellation fee
367,367,Customer: i need help modifyingg purchase 00123842, change order
368,368,Customer: where do I check the payment methods?, check payment methods
369,369,Customer: can you help me to see the termination charge?, check cancellation fee
370,370,"Customer: I do not want this item, where to cancel order 370795561790?", cancel order
371,371,Customer: i do not know how to obtain refunds of my money, get refund
372,372,Customer: is there a way to leave some feedback for your services?, review
373,373,Customer: I'm looking for information about updating the address, change shipping address
374,374,Customer: I don't know what to do to locate my invoice from Mr. Jones, check invoice
375,375,Customer: I do not know how to leave some feedback about your company, review
376,376,Customer: I want help asking for a reimbursement of money, get refund
377,377,Customer: i want help requesting a refund of money, get refund
378,378,Customer: i cannot delete a product from purchase 00123842, change order
379,379,Customer: why I cannot set the secondary shipping address valid up, set up shipping address
380,380,Customer: I don't know how I can see my bill #00108, check invoice
381,381,Customer: could i order from Detroit, delivery options
382,382,Customer: need assistance to leave an opinion about ur company, review
383,383,Customer: i need assistance seeing ur fucking money back guarantee, check refund policy
384,384,Customer: i need assiustance to check my bill #00108, check invoice
385,385,Customer: is it possible to send feedback for an product, review
386,386,Customer: help me check in what situations can I ask to be refunded, check refund policy
387,387,Customer: could you help me to speak to somebody?, contact human agent
388,388,Customer: edit information on freemium account, edit account
389,389,Customer: how to add an article to purchase 732201349959, change order
390,390,Customer: want help informing of an issue with registrations, registration problems
391,391,Customer: have problems with opening a newbloody pro account, create account
392,392,"Customer: I want to check what payment methods are available, help me", check payment methods
393,393,Customer: I need assistance to correct the shipping address, change shipping address
394,394,Customer: I do not know how to reset the key of my user, recover password
395,395,Customer: help me tol subscribe to your company newsletter, newsletter subscription
396,396,Customer: can uhelp me obtaining compensations, get refund
397,397,Customer: can you help me to look for invoice #00108?, check invoice
398,398,Customer: shipping to Japan, delivery options
399,399,Customer: there are troubles submitting the new shipping address, set up shipping address
400,400,Customer: can utell me about a delivery adfress change, change shipping address
401,401,Customer: i want assistance giving a quick look at the bull #85632, check invoice
402,402,Customer: help to see in which cases can I ask for a reimbursement, check refund policy
403,403,Customer: wanna know about signing up to ur newsletter, newsletter subscription
404,404,Customer: order 00004587345 status, track order
405,405,Customer: I do not know how I can inform of an error with a sign-up, registration problems
406,406,Customer: i need help to see what hours i can reach customer support, contact customer service
407,407,Customer: wanna order several items help me, place order
408,408,Customer: need help to leave a review about a product, review
409,409,Customer: help me make a complaint against your organization, complaint
410,410,"Customer: I want to see when will my purchase arrive, I need help", delivery period
411,411,Customer: want help to write an opinion for a service, review
412,412,Customer: I want to delete a goddamn item from order 732201349959, change order
413,413,Customer: assistance trying to modify the shipping address, change shipping address
414,414,Customer: get bill from David Miller, get invoice
415,415,Customer: i cannot set up a secondary shipping address, set up shipping address
416,416,Customer: can ya help me to submit some feedback about ur company, review
417,417,Customer: help me looking for the bill from Anna Freeman, check invoice
418,418,Customer: deliveries to Dublin, delivery options
419,419,Customer: i have to send feedback for ur services, review
420,420,Customer: I'm trying to check when my shipment is gonna arrive, delivery period
421,421,Customer: need to check the early exit fees, check cancellation fee
422,422,Customer: file customer complaint agaisnt your business, complaint
423,423,Customer: editing information on standard account, edit account
424,424,Customer: I don't know how I can download the bills from Anna Freeman, get invoice
425,425,Customer: where to check the bills from Mr. Jones?, check invoice
426,426,Customer: I need help notifying of a trouble with online payment, payment issue
427,427,Customer: help me check the current status of order 370795561790, track order
428,428,Customer: opening new gold account, create account
429,429,Customer: help to check your money back policy, check refund policy
430,430,Customer: need to add somehting to purchase 00004587345, change order
431,431,Customer: is it possible to subscribe to the corporate newsletter?, newsletter subscription
432,432,"Customer: I want to see the invoice #00108, help me", check invoice
433,433,Customer: i cannot modify the delivery address, change shipping address
434,434,Customer: solve an issue with online payment, payment issue
435,435,Customer: refunding$299, get refund
436,436,Customer: can i check at what time i can call customer assistance, contact customer service
437,437,Customer: I have got to use the pro profile, switch account
438,438,Customer: open a Gold acount for my fiancee, create account
439,439,Customer: I want help adding an article to order 00004587345, change order
440,440,Customer: assistance to unsubscribe to ur company newsletter, newsletter subscription
441,441,Customer: modifying Gold account, edit account
442,442,Customer: i do not know what i have to do to speak with a assistant, contact human agent
443,443,Customer: is it possible to order from Finland?, delivery options
444,444,Customer: I can't recover the PIN of my account, recover password
445,445,Customer: I have to shop some of your product, place order
446,446,Customer: update premium account, edit account
447,447,Customer: I need to check the ETA of the purchase 113542617735902, track order
448,448,Customer: want help to ad some items to order 370795561790, change order
449,449,Customer: where can I enter my secondary shipping address?, set up shipping address
450,450,Customer: I have got to see the cancellation penalty, check cancellation fee
451,451,Customer: i cannot chat with someone, contact human agent
452,452,Customer: close Platinum account, delete account
453,453,"Customer: I want to correct purchase 732201349959, how do I do it?", change order
454,454,Customer: edit data on standard account, edit account
455,455,Customer: i dont know how i can leave a comment for ur products, review
456,456,Customer: find information about receiving ur newsletter, newsletter subscription
457,457,Customer: help solving errors with online payment, payment issue
458,458,Customer: i cannot submit the secondary delivery address, set up shipping address
459,459,Customer: could you help me to close the damn free account?, delete account
460,460,Customer: making coaim, complaint
461,461,Customer: help me changing the delivery address, change shipping address
462,462,Customer: I want to see how soon can I expect the order, delivery period
463,463,"Customer: I want to speak with customer support, how can I do it?", contact customer service
464,464,"Customer: I do not have a fucking Freemium account, could I register?", create account
465,465,Customer: i want assistance to switch to the free account, switch account
466,466,Customer: the experience with uwas awful how do i file a bloody claim, complaint
467,467,Customer: editingPlatinum account, edit account
468,468,"Customer: I need to notify of a fucking issue with payments, help me", payment issue
469,469,Customer: i need help to reset the pin of my user account, recover password
470,470,Customer: help to use the Gold profile, switch account
471,471,Customer: I do not know what to do to order a few of your article, place order
472,472,Customer: can ya help me demandkng a damn rebate, get refund
473,473,Customer: reporting payment issue, payment issue
474,474,Customer: I have errors modifying my delivery address, change shipping address
475,475,Customer: need assistance to create a Gold account for my daughter, create account
476,476,Customer: I don't know what I have to do to download my invoice #00108, get invoice
477,477,Customer: report payment issue, payment issue
478,478,Customer: edit data on gold account, edit account
479,479,Customer: I try to demand a compensation, get refund
480,480,Customer: switching to premium account, switch account
481,481,Customer: modify details on free  account, edit account
482,482,Customer: how to use the freemium profile, switch account
483,483,Customer: I do not know what I need to do to change to the pro account, switch account
484,484,Customer: I want assistance to cancel order 113542617735902, cancel order
485,485,Customer: could I lodge a consumer claim?, complaint
486,486,Customer: change purchase 113542617735902, change order
487,487,Customer: i have got tro check ur accepted payment methods i need help, check payment methods
488,488,"Customer: I have paid $160 for an article, I am trying to get a refund", get refund
489,489,Customer: help me canceling purchase 00123842, cancel order
490,490,Customer: I expect a reimbursement of $1200, track refund
491,491,Customer: how could I check the shipment methods?, delivery options
492,492,Customer: assistance to check at what time I can call customer support, contact customer service
493,493,Customer: i dont knowhow to see the bill #00108, check invoice
494,494,Customer: help me canceling purchase 113542617735902, cancel order
495,495,Customer: I'm trying to enter an different delivery address, set up shipping address
496,496,Customer: I want assistance seeing the fucking bills from Mr. Smith, check invoice
497,497,Customer: have preoblems with my forgotten pin code, recover password
498,498,Customer: I don't know how I could order a few of your product, place order
499,499,Customer: i need assistance creating a freemium account, create account
500,500,Customer: I don't know what to do to change to the Pro account, switch account
501,501,Customer: there are problems entering a secondary delivery address, set up shipping address
502,502,Customer: I don't know what to do to restore my profile access key, recover password
503,503,Customer: i want assistance canceloing purchase 370795561790, cancel order
504,504,Customer: do you ship to Detroit?, delivery options
505,505,Customer: I need to check how long the shipment takes, delivery period
506,506,Customer: I need help to speak with customer service, contact customer service
507,507,Customer: wanna check how long refunds take heelp me, check refund policy
508,508,"Customer: I have to check your accepted payment methods, help me", check payment methods
509,509,Customer: I call to get the bill #37777, get invoice
510,510,Customer: i need help signing up to ur corporate newsletter, newsletter subscription
511,511,Customer: want help to list the payment modalities, check payment methods
512,512,Customer: updating data on Pro account, edit account
513,513,Customer: I don't know how I could locate the bill #85632, check invoice
514,514,Customer: I want to create a standard account, create account
515,515,Customer: edit data on Freemium account, edit account
516,516,Customer: is it possible to subscribe to ur company newsletter, newsletter subscription
517,517,Customer: add item to order 00004587345, change order
518,518,Customer: shipments to Philadelphia, delivery options
519,519,Customer: help using the free profile, switch account
520,520,Customer: i need help with creating a Premium account, create account
