,prompt,completion
74,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know what I have to do to cancel the gold account
The intention is as follows:", delete account END
75,"Please categorise the customer intent from the conversation below: 

###

Customer: I'm waiting for a restitution of $1200
The intention is as follows:", track refund END
76,"Please categorise the customer intent from the conversation below: 

###

Customer: wanna use the free account
The intention is as follows:", switch account END
77,"Please categorise the customer intent from the conversation below: 

###

Customer: I can no longer afford order 113542617735902
The intention is as follows:", cancel order END
78,"Please categorise the customer intent from the conversation below: 

###

Customer: i dont understand ya i want help talkiing with someone
The intention is as follows:", contact human agent END
79,"Please categorise the customer intent from the conversation below: 

###

Customer: where do i buy some of ur item
The intention is as follows:", place order END
80,"Please categorise the customer intent from the conversation below: 

###

Customer: order cancelation
The intention is as follows:", cancel order END
81,"Please categorise the customer intent from the conversation below: 

###

Customer: i want assistnce shopping an item
The intention is as follows:", place order END
82,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know what to do to acquire a few of your item
The intention is as follows:", place order END
83,"Please categorise the customer intent from the conversation below: 

###

Customer: delete standard account
The intention is as follows:", delete account END
84,"Please categorise the customer intent from the conversation below: 

###

Customer: how to see my bill #12588
The intention is as follows:", check invoice END
85,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know how I can check the early termination charges
The intention is as follows:", check cancellation fee END
86,"Please categorise the customer intent from the conversation below: 

###

Customer: i dont know what i have to do to modify my address
The intention is as follows:", change shipping address END
87,"Please categorise the customer intent from the conversation below: 

###

Customer: shipments to Seattle
The intention is as follows:", delivery options END
88,"Please categorise the customer intent from the conversation below: 

###

Customer: where ispurchase 113542617735902?
The intention is as follows:", track order END
89,"Please categorise the customer intent from the conversation below: 

###

Customer: I expect a erbate of 1499 dollars
The intention is as follows:", track refund END
90,"Please categorise the customer intent from the conversation below: 

###

Customer: help me deleting some products from order 113542617735902
The intention is as follows:", change order END
91,"Please categorise the customer intent from the conversation below: 

###

Customer: I am trying to find information about the delivery periods
The intention is as follows:", delivery period END
92,"Please categorise the customer intent from the conversation below: 

###

Customer: do you have a toll-free number to speak to customer service?
The intention is as follows:", contact customer service END
93,"Please categorise the customer intent from the conversation below: 

###

Customer: I have a problem with my PIN retrieval
The intention is as follows:", recover password END
94,"Please categorise the customer intent from the conversation below: 

###

Customer: can I check the early termination charge?
The intention is as follows:", check cancellation fee END
95,"Please categorise the customer intent from the conversation below: 

###

Customer: need to purchase some items
The intention is as follows:", place order END
96,"Please categorise the customer intent from the conversation below: 

###

Customer: help to submit feedabck for your services
The intention is as follows:", review END
97,"Please categorise the customer intent from the conversation below: 

###

Customer: I try to check at what time I can contact customer support
The intention is as follows:", contact customer service END
98,"Please categorise the customer intent from the conversation below: 

###

Customer: i dont know how to  get my invoices from Ms. Hawkings
The intention is as follows:", get invoice END
99,"Please categorise the customer intent from the conversation below: 

###

Customer: i expect a reimbursement of 350 dollars
The intention is as follows:", track refund END
100,"Please categorise the customer intent from the conversation below: 

###

Customer: I have to inform of problems with a signup
The intention is as follows:", registration problems END
101,"Please categorise the customer intent from the conversation below: 

###

Customer: rebatingg $160
The intention is as follows:", get refund END
102,"Please categorise the customer intent from the conversation below: 

###

Customer: need to cancel order 00004587345
The intention is as follows:", cancel order END
103,"Please categorise the customer intent from the conversation below: 

###

Customer: want assistance to sove a problem with online payment
The intention is as follows:", payment issue END
104,"Please categorise the customer intent from the conversation below: 

###

Customer: help checking how long refunds usually take
The intention is as follows:", check refund policy END
105,"Please categorise the customer intent from the conversation below: 

###

Customer: opening new Pro account
The intention is as follows:", create account END
106,"Please categorise the customer intent from the conversation below: 

###

Customer: how to check how long it takes for my shipment to arrive?
The intention is as follows:", delivery period END
107,"Please categorise the customer intent from the conversation below: 

###

Customer: I want help to check my bill from Mr. Smith
The intention is as follows:", check invoice END
108,"Please categorise the customer intent from the conversation below: 

###

Customer: can i set up my shipping address
The intention is as follows:", set up shipping address END
109,"Please categorise the customer intent from the conversation below: 

###

Customer: I expect a reimbursement of $1499
The intention is as follows:", track refund END
110,"Please categorise the customer intent from the conversation below: 

###

Customer: i expect an rebate of $160 has it been processed
The intention is as follows:", track refund END
111,"Please categorise the customer intent from the conversation below: 

###

Customer: I  expect a compensation of 299 dollars
The intention is as follows:", track refund END
112,"Please categorise the customer intent from the conversation below: 

###

Customer: updating info on  Premium account
The intention is as follows:", edit account END
113,"Please categorise the customer intent from the conversation below: 

###

Customer: help me enter the new delivery address
The intention is as follows:", set up shipping address END
114,"Please categorise the customer intent from the conversation below: 

###

Customer: I would like to sign up to the company newsletter
The intention is as follows:", newsletter subscription END
115,"Please categorise the customer intent from the conversation below: 

###

Customer: i have to get the invoice #00108
The intention is as follows:", get invoice END
116,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to list your accepted payment options, I need help
The intention is as follows:", check payment methods END
117,"Please categorise the customer intent from the conversation below: 

###

Customer: i have to submit a shipping address
The intention is as follows:", set up shipping address END
118,"Please categorise the customer intent from the conversation below: 

###

Customer: is it possible to change to the premium account?
The intention is as follows:", switch account END
119,"Please categorise the customer intent from the conversation below: 

###

Customer: i have problems trying to edit my address
The intention is as follows:", change shipping address END
120,"Please categorise the customer intent from the conversation below: 

###

Customer: want help demanding reimbursements
The intention is as follows:", get refund END
121,"Please categorise the customer intent from the conversation below: 

###

Customer: how do I see order 00004587345 current status?
The intention is as follows:", track order END
122,"Please categorise the customer intent from the conversation below: 

###

Customer: where to check what payment options you accept?
The intention is as follows:", check payment methods END
123,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know how I can file a reclamation
The intention is as follows:", complaint END
124,"Please categorise the customer intent from the conversation below: 

###

Customer: i do not knopw how to inform of problems with registrations
The intention is as follows:", registration problems END
125,"Please categorise the customer intent from the conversation below: 

###

Customer: I am trying to see the accepted payment modalities
The intention is as follows:", check payment methods END
126,"Please categorise the customer intent from the conversation below: 

###

Customer: i dont want order 732201349959 i need help canceling it
The intention is as follows:", cancel order END
127,"Please categorise the customer intent from the conversation below: 

###

Customer: checking invoice from last month
The intention is as follows:", check invoice END
128,"Please categorise the customer intent from the conversation below: 

###

Customer: can i place an order from Toronto
The intention is as follows:", delivery options END
129,"Please categorise the customer intent from the conversation below: 

###

Customer: find information about forgotten pin code
The intention is as follows:", recover password END
130,"Please categorise the customer intent from the conversation below: 

###

Customer: is it possible to modify my damn shipping address
The intention is as follows:", change shipping address END
131,"Please categorise the customer intent from the conversation below: 

###

Customer: can you help me to check how soon can I expect my product?
The intention is as follows:", delivery period END
132,"Please categorise the customer intent from the conversation below: 

###

Customer: assistance to ue my new profile
The intention is as follows:", switch account END
133,"Please categorise the customer intent from the conversation below: 

###

Customer: i cant restore my user key
The intention is as follows:", recover password END
134,"Please categorise the customer intent from the conversation below: 

###

Customer: can you help me checking the accepted payment methods?
The intention is as follows:", check payment methods END
135,"Please categorise the customer intent from the conversation below: 

###

Customer: help updating order 00123842
The intention is as follows:", change order END
136,"Please categorise the customer intent from the conversation below: 

###

Customer: I need information about the subscription to your newsletter
The intention is as follows:", newsletter subscription END
137,"Please categorise the customer intent from the conversation below: 

###

Customer: assistance to report errors with a signup
The intention is as follows:", registration problems END
138,"Please categorise the customer intent from the conversation below: 

###

Customer: update information on standard account
The intention is as follows:", edit account END
139,"Please categorise the customer intent from the conversation below: 

###

Customer: can you tell me at what time I can call customer assistance?
The intention is as follows:", contact customer service END
140,"Please categorise the customer intent from the conversation below: 

###

Customer: update purchase 732201349959
The intention is as follows:", change order END
141,"Please categorise the customer intent from the conversation below: 

###

Customer: shipments to USA
The intention is as follows:", delivery options END
142,"Please categorise the customer intent from the conversation below: 

###

Customer: see in what situations can i request the goddamn refunds
The intention is as follows:", check refund policy END
143,"Please categorise the customer intent from the conversation below: 

###

Customer: would itr be possible to place a damn order from Munich
The intention is as follows:", delivery options END
144,"Please categorise the customer intent from the conversation below: 

###

Customer: can I place an order from Toronto?
The intention is as follows:", delivery options END
145,"Please categorise the customer intent from the conversation below: 

###

Customer: i have to add an item to purchase 370795561790
The intention is as follows:", change order END
146,"Please categorise the customer intent from the conversation below: 

###

Customer: open premium account for bride
The intention is as follows:", create account END
147,"Please categorise the customer intent from the conversation below: 

###

Customer: how can I check how long it takes for my order to arrive?
The intention is as follows:", delivery period END
148,"Please categorise the customer intent from the conversation below: 

###

Customer: how do I ask for a compensation?
The intention is as follows:", get refund END
149,"Please categorise the customer intent from the conversation below: 

###

Customer: can ya help me open a damn freemium account
The intention is as follows:", create account END
150,"Please categorise the customer intent from the conversation below: 

###

Customer: switching to Freemium account
The intention is as follows:", switch account END
151,"Please categorise the customer intent from the conversation below: 

###

Customer: I need assistance seeing my bill #12588
The intention is as follows:", check invoice END
152,"Please categorise the customer intent from the conversation below: 

###

Customer: I haqve to sign up to your newsletter, how to do it?
The intention is as follows:", newsletter subscription END
153,"Please categorise the customer intent from the conversation below: 

###

Customer: updating platinum account
The intention is as follows:", edit account END
154,"Please categorise the customer intent from the conversation below: 

###

Customer: can I edit order 370795561790?
The intention is as follows:", change order END
155,"Please categorise the customer intent from the conversation below: 

###

Customer: where can I unsubscribe from your corporate newsletter?
The intention is as follows:", newsletter subscription END
156,"Please categorise the customer intent from the conversation below: 

###

Customer: I have got to edit order 370795561790, can you help me?
The intention is as follows:", change order END
157,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to check te ETA of purchase 00004587345
The intention is as follows:", track order END
158,"Please categorise the customer intent from the conversation below: 

###

Customer: I'd like to switch to the damn Premium account how to do it
The intention is as follows:", switch account END
159,"Please categorise the customer intent from the conversation below: 

###

Customer: ineed assistance to see purchase 00004587345 status
The intention is as follows:", track order END
160,"Please categorise the customer intent from the conversation below: 

###

Customer: check ETA of order 113542617735902
The intention is as follows:", track order END
161,"Please categorise the customer intent from the conversation below: 

###

Customer: can I change some fucking products of purchase 00123842?
The intention is as follows:", change order END
162,"Please categorise the customer intent from the conversation below: 

###

Customer: I cannot understand you, need help talking with a live agent
The intention is as follows:", contact human agent END
163,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to use the Platinum profile, how can I do it?
The intention is as follows:", switch account END
164,"Please categorise the customer intent from the conversation below: 

###

Customer: information about my pwd reset
The intention is as follows:", recover password END
165,"Please categorise the customer intent from the conversation below: 

###

Customer: I want help  talking with an agent
The intention is as follows:", contact human agent END
166,"Please categorise the customer intent from the conversation below: 

###

Customer: i cant change my delivery address
The intention is as follows:", change shipping address END
167,"Please categorise the customer intent from the conversation below: 

###

Customer: assistance to see the withdrawal fees
The intention is as follows:", check cancellation fee END
168,"Please categorise the customer intent from the conversation below: 

###

Customer: how to talk with customer support?
The intention is as follows:", contact customer service END
169,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know how to notify of a problem with payments
The intention is as follows:", payment issue END
170,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know what to do to change  the shipping address
The intention is as follows:", change shipping address END
171,"Please categorise the customer intent from the conversation below: 

###

Customer: report registration issue
The intention is as follows:", registration problems END
172,"Please categorise the customer intent from the conversation below: 

###

Customer: I need assistance creating a Premium account for my fiancee
The intention is as follows:", create account END
173,"Please categorise the customer intent from the conversation below: 

###

Customer: check invoice from last purchase
The intention is as follows:", check invoice END
174,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know how I can check when will my purchase arrive
The intention is as follows:", delivery period END
175,"Please categorise the customer intent from the conversation below: 

###

Customer: I have issues with my sign-up
The intention is as follows:", registration problems END
176,"Please categorise the customer intent from the conversation below: 

###

Customer: give me information about the deletion of my premium account
The intention is as follows:", delete account END
177,"Please categorise the customer intent from the conversation below: 

###

Customer: want assistance cancelling purchase 370795561790
The intention is as follows:", cancel order END
178,"Please categorise the customer intent from the conversation below: 

###

Customer: where can i leave a comment for ur company
The intention is as follows:", review END
179,"Please categorise the customer intent from the conversation below: 

###

Customer: correct the shipping address
The intention is as follows:", change shipping address END
180,"Please categorise the customer intent from the conversation below: 

###

Customer: i need help canceling purchase 732201349959
The intention is as follows:", cancel order END
181,"Please categorise the customer intent from the conversation below: 

###

Customer: where to retrieve the pass of my account?
The intention is as follows:", recover password END
182,"Please categorise the customer intent from the conversation below: 

###

Customer: need assisxtance to file a reclamation against ur business
The intention is as follows:", complaint END
183,"Please categorise the customer intent from the conversation below: 

###

Customer: wanna see the ETA of the purchase 113542617735902
The intention is as follows:", track order END
184,"Please categorise the customer intent from the conversation below: 

###

Customer: could you help me cancelling purchase 732201349959?
The intention is as follows:", cancel order END
185,"Please categorise the customer intent from the conversation below: 

###

Customer: I would like to edit my user, I need assistance
The intention is as follows:", edit account END
186,"Please categorise the customer intent from the conversation below: 

###

Customer: need to check ur fucking available payment options
The intention is as follows:", check payment methods END
187,"Please categorise the customer intent from the conversation below: 

###

Customer: how can I check what hours I can call customer service?
The intention is as follows:", contact customer service END
188,"Please categorise the customer intent from the conversation below: 

###

Customer: do you ship to Toronto?
The intention is as follows:", delivery options END
189,"Please categorise the customer intent from the conversation below: 

###

Customer: need to see the eta of purchase 00123842
The intention is as follows:", track order END
190,"Please categorise the customer intent from the conversation below: 

###

Customer: i forgot the pass of my user i have to resety it
The intention is as follows:", recover password END
191,"Please categorise the customer intent from the conversation below: 

###

Customer: want help to see in what cases can I ask for reimbursements
The intention is as follows:", check refund policy END
192,"Please categorise the customer intent from the conversation below: 

###

Customer: I can't find anything about the early termination fees
The intention is as follows:", check cancellation fee END
193,"Please categorise the customer intent from the conversation below: 

###

Customer: I'm trying to demand a compensation of my money
The intention is as follows:", get refund END
194,"Please categorise the customer intent from the conversation below: 

###

Customer: see the status of my corporate newsletter subscription
The intention is as follows:", newsletter subscription END
195,"Please categorise the customer intent from the conversation below: 

###

Customer: I try to shop a few of your item
The intention is as follows:", place order END
196,"Please categorise the customer intent from the conversation below: 

###

Customer: open anotherstandard account
The intention is as follows:", create account END
197,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to lodge a consumer reclamation, I need assistance
The intention is as follows:", complaint END
198,"Please categorise the customer intent from the conversation below: 

###

Customer: i dont know wshat i have to do to get invoice #12588
The intention is as follows:", get invoice END
199,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know what I need to do to order an few of your item
The intention is as follows:", place order END
200,"Please categorise the customer intent from the conversation below: 

###

Customer: can uhlep me cancelling purchase 732201349959
The intention is as follows:", cancel order END
201,"Please categorise the customer intent from the conversation below: 

###

Customer: I need assistance lodging a customer claim
The intention is as follows:", complaint END
202,"Please categorise the customer intent from the conversation below: 

###

Customer: where do i make a consumer claim against ur business
The intention is as follows:", complaint END
203,"Please categorise the customer intent from the conversation below: 

###

Customer: where do I submit a shipping address?
The intention is as follows:", set up shipping address END
204,"Please categorise the customer intent from the conversation below: 

###

Customer: help me modify order 370795561790
The intention is as follows:", change order END
205,"Please categorise the customer intent from the conversation below: 

###

Customer: can  i swap some items of order 732201349959
The intention is as follows:", change order END
206,"Please categorise the customer intent from the conversation below: 

###

Customer: I need to see what hours I can contact customer assistance
The intention is as follows:", contact customer service END
207,"Please categorise the customer intent from the conversation below: 

###

Customer: can you help me obtain a reimbursement?
The intention is as follows:", get refund END
208,"Please categorise the customer intent from the conversation below: 

###

Customer: I want assistance seeing the ETA of the order 00004587345
The intention is as follows:", track order END
209,"Please categorise the customer intent from the conversation below: 

###

Customer: can i check ur erimbursement policy
The intention is as follows:", check refund policy END
210,"Please categorise the customer intent from the conversation below: 

###

Customer: I want help canceling puurchase 00004587345
The intention is as follows:", cancel order END
211,"Please categorise the customer intent from the conversation below: 

###

Customer: see cancellationcharges
The intention is as follows:", check cancellation fee END
212,"Please categorise the customer intent from the conversation below: 

###

Customer: correcting information on pro account
The intention is as follows:", edit account END
213,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know what I need to do to chay with an assistant
The intention is as follows:", contact human agent END
214,"Please categorise the customer intent from the conversation below: 

###

Customer: i have got to check in which cases can i ask for a refund
The intention is as follows:", check refund policy END
215,"Please categorise the customer intent from the conversation below: 

###

Customer: question about  forgotten pass
The intention is as follows:", recover password END
216,"Please categorise the customer intent from the conversation below: 

###

Customer: I need assistance chatting with an agent
The intention is as follows:", contact human agent END
217,"Please categorise the customer intent from the conversation below: 

###

Customer: what options for shipping can I choose?
The intention is as follows:", delivery options END
218,"Please categorise the customer intent from the conversation below: 

###

Customer: want support correcting my delivery address
The intention is as follows:", change shipping address END
219,"Please categorise the customer intent from the conversation below: 

###

Customer: I try to see what hours I can reach customer service
The intention is as follows:", contact customer service END
220,"Please categorise the customer intent from the conversation below: 

###

Customer: how to see order 00123842 status
The intention is as follows:", track order END
221,"Please categorise the customer intent from the conversation below: 

###

Customer: I try to check the allowed payment methods
The intention is as follows:", check payment methods END
222,"Please categorise the customer intent from the conversation below: 

###

Customer: i want  help changing to the Pro account
The intention is as follows:", switch account END
223,"Please categorise the customer intent from the conversation below: 

###

Customer: can i check in what cases can i ask for reimbursements
The intention is as follows:", check refund policy END
224,"Please categorise the customer intent from the conversation below: 

###

Customer: how can i get information about platinum account removals
The intention is as follows:", delete account END
225,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know how I can check your accepted payment methods
The intention is as follows:", check payment methods END
226,"Please categorise the customer intent from the conversation below: 

###

Customer: help me seeing when will my purchase arrive
The intention is as follows:", delivery period END
227,"Please categorise the customer intent from the conversation below: 

###

Customer: receive money back
The intention is as follows:", get refund END
228,"Please categorise the customer intent from the conversation below: 

###

Customer: can i give a quick look at the bill from David Miller
The intention is as follows:", check invoice END
229,"Please categorise the customer intent from the conversation below: 

###

Customer: how do i list ur avaqilable payment options
The intention is as follows:", check payment methods END
230,"Please categorise the customer intent from the conversation below: 

###

Customer: where to see the payment options?
The intention is as follows:", check payment methods END
231,"Please categorise the customer intent from the conversation below: 

###

Customer: I am waiting for a restitution of 1200 dollars
The intention is as follows:", track refund END
232,"Please categorise the customer intent from the conversation below: 

###

Customer: what do i have to do to add sometthing to order 00004587345
The intention is as follows:", change order END
233,"Please categorise the customer intent from the conversation below: 

###

Customer: i do not know how to retrieve my user access key
The intention is as follows:", recover password END
234,"Please categorise the customer intent from the conversation below: 

###

Customer: could uhelp me speaking to an human agent
The intention is as follows:", contact human agent END
235,"Please categorise the customer intent from the conversation below: 

###

Customer: assistance checking how soon can i expect the parcel
The intention is as follows:", delivery period END
236,"Please categorise the customer intent from the conversation below: 

###

Customer: i have got to see the status of order 00004587345 help me
The intention is as follows:", track order END
237,"Please categorise the customer intent from the conversation below: 

###

Customer: need to inform of a trouble with online payments
The intention is as follows:", payment issue END
238,"Please categorise the customer intent from the conversation below: 

###

Customer: I need to submit my feedback about your products, help me
The intention is as follows:", review END
239,"Please categorise the customer intent from the conversation below: 

###

Customer: help me to lodge a customer claim against your company
The intention is as follows:", complaint END
240,"Please categorise the customer intent from the conversation below: 

###

Customer: how to write a comment for your services?
The intention is as follows:", review END
241,"Please categorise the customer intent from the conversation below: 

###

Customer: I want assistance opening a pro account
The intention is as follows:", create account END
