,id,label,label_text,text,lang
51,78,music_likeness,music_likeness,senin çaldığın şarkı harika,tr
52,79,music_likeness,music_likeness,bu benim için en iyi şarkılardan biri,tr
53,81,iot_hue_lightup,iot_hue_lightup,ışıkları daha parlak yap,tr
54,82,iot_hue_lightup,iot_hue_lightup,lütfen ışıkları maksimuma getir,tr
55,83,iot_cleaning,iot_cleaning,hey robot süpürgeyi başlat,tr
56,84,iot_cleaning,iot_cleaning,temizlik robotunu çalıştır,tr
57,87,takeaway_order,takeaway_order,lütfen akşam yemeği için suşi söyle,tr
58,88,takeaway_order,takeaway_order,hey senden burger siparişi vermeni istiyorum,tr
59,91,takeaway_order,takeaway_order,çiya'dan akşam yemeği için paket servisi sipariş edebilir miyim,tr
60,92,takeaway_query,takeaway_query,byron's paket servisini destekliyor mu,tr
61,93,alarm_set,alarm_set,on ikiye alarm kur,tr
62,94,alarm_set,alarm_set,kırk dakika sonraya alarm kur,tr
63,95,alarm_set,alarm_set,hafta içi her gün saat sekize alarm kur,tr
64,96,weather_query,weather_query,yağmur yağıyor mu,tr
65,97,weather_query,weather_query,yağmur yağacak mı,tr
66,98,weather_query,weather_query,şu anda kar yağıyor mu,tr
67,101,weather_query,weather_query,bu hafta hava nasıl,tr
68,104,news_query,news_query,b. b. c. haberlerini söyle,tr
69,105,news_query,news_query,b. b. c. haberlerde haberler nedir,tr
70,106,news_query,news_query,halk tv'nin en son haberleri ne,tr
71,108,play_music,play_music,benim sevdiğim şarkıyı çal,tr
72,110,play_music,play_music,sezen aksu çal,tr
73,111,play_music,play_music,biraz mor ve ötesi çal,tr
74,114,music_settings,music_settings,bu oynatma listesini karıştır,tr
75,116,music_query,music_query,ne çalıyor,tr
76,117,music_query,music_query,bu müzik nedir,tr
77,118,music_query,music_query,bana bu şarkının sanatçısını söyle,tr
78,119,general_joke,general_joke,beni güldür,tr
79,120,general_joke,general_joke,olly beni güldür,tr
80,121,general_joke,general_joke,bana iyi bir fıkra anlat,tr
81,123,general_joke,general_joke,bana bir espri yap,tr
82,125,general_joke,general_joke,alexa bana bir fıkra anlat,tr
83,126,general_joke,general_joke,beni neşelendir,tr
84,129,general_quirky,general_quirky,bana bugünü anlat,tr
85,130,takeaway_order,takeaway_order,bir pizza sipariş et,tr
86,131,takeaway_order,takeaway_order,bana tivoli den içli köfte siparişi ver,tr
87,133,takeaway_query,takeaway_query,siparişim ne zaman geliyor,tr
88,134,takeaway_query,takeaway_query,paket servisime ne kadar var,tr
89,135,takeaway_query,takeaway_query,domino's teslimat durumu,tr
90,136,music_query,music_query,ne çalıyor,tr
91,137,music_query,music_query,şarkının adını söyle,tr
92,139,play_music,play_music,benim jazz çalma listemi oynat,tr
93,140,play_music,play_music,benim jazz playlistimi başlat,tr
94,141,play_music,play_music,benim favori çalma listemi aç,tr
95,142,music_likeness,music_likeness,bu iyi bir şarkı,tr
96,143,music_dislikeness,music_dislikeness,hoşuma gitmedi,tr
97,144,music_likeness,music_likeness,bunu severim,tr
98,145,music_likeness,music_likeness,jazz severim,tr
99,146,play_music,play_music,biraz caz çalabilir misin,tr
100,149,music_likeness,music_likeness,bu şarkı çok iyiydi,tr
101,152,audio_volume_other,audio_volume_other,ses seviyesini değiştir,tr
102,153,music_settings,music_settings,karışık çalmayı etkinleştir,tr
103,154,music_settings,music_settings,ayarları kaydet,tr
104,155,iot_hue_lightchange,iot_hue_lightchange,parlaklığı yüzde elliye ayarla,tr
105,156,iot_hue_lightdim,iot_hue_lightdim,parlaklığı düşür,tr
106,157,iot_hue_lightdim,iot_hue_lightdim,parlaklığı azalt,tr
107,159,iot_hue_lightdim,iot_hue_lightdim,parlaklığı azalt,tr
108,160,iot_hue_lightdim,iot_hue_lightdim,ışıkları kıs,tr
109,161,iot_hue_lightdim,iot_hue_lightdim,ışıkları kıs olly,tr
110,162,iot_coffee,iot_coffee,bana kahve yap,tr
111,163,iot_coffee,iot_coffee,olly bana kahve yap,tr
112,164,iot_coffee,iot_coffee,bana kahve lazım,tr
113,165,iot_coffee,iot_coffee,şimdi kahve istiyorum,tr
114,166,general_greet,general_greet,nasılsın,tr
115,172,alarm_set,alarm_set,alarmı sabah ona kur,tr
116,175,news_query,news_query,bana en son teknoloji haberlerini söyle,tr
117,176,news_query,news_query,bana son teknoloji haberlerini söyle,tr
118,179,weather_query,weather_query,bana havayı göster,tr
119,180,weather_query,weather_query,hava şu an nasıl,tr
120,181,weather_query,weather_query,şu an yağmur yağıyor mu,tr
121,183,play_music,play_music,benim michael jackson playlist imi aç,tr
122,184,play_music,play_music,benim çalma listemden tarkan çal,tr
123,186,play_music,play_music,benim favori çalma listemdeki son şarkıyı çal,tr
124,187,audio_volume_up,audio_volume_up,sesi aç,tr
125,190,iot_wemo_on,iot_wemo_on,prizi aç,tr
126,191,iot_wemo_on,iot_wemo_on,fişi aç,tr
127,192,iot_wemo_on,iot_wemo_on,prizimi aç,tr
128,193,general_joke,general_joke,bana biraz fıkra anlat,tr
129,194,general_joke,general_joke,hiç fıkra biliyor musun,tr
130,195,datetime_query,datetime_query,saat kaç,tr
131,196,datetime_query,datetime_query,bana saati söyle,tr
132,198,takeaway_query,takeaway_query,dominos eve sipariş alıyor mu,tr
133,199,takeaway_query,takeaway_query,benim favori pizza salonum paket servisi için uygun mu,tr
134,200,takeaway_order,takeaway_order,ispanyol lokantasından paket isteyebilir miyim,tr
135,202,alarm_remove,alarm_remove,alarmı sil,tr
136,203,alarm_query,alarm_query,kurduğum alarmları göster,tr
137,204,alarm_query,alarm_query,herhangi alarmım var mı,tr
138,205,alarm_query,alarm_query,alarmları göster,tr
139,206,weather_query,weather_query,istanbul'da hava nasıl,tr
140,207,weather_query,weather_query,bana istanbul hava durumunu söyle,tr
141,209,iot_hue_lightchange,iot_hue_lightchange,lütfen ışıkları okumaya uygun yap,tr
142,210,iot_hue_lightchange,iot_hue_lightchange,lütfen ışığı izlemeye uygun yap,tr
143,211,iot_hue_lightup,iot_hue_lightup,odayı daha parlak yap,tr
144,212,iot_hue_lighton,iot_hue_lighton,ışık başlasın,tr
145,213,datetime_query,datetime_query,bugün günün tarihi ne,tr
146,214,datetime_query,datetime_query,bugün günlerden ne,tr
147,215,datetime_query,datetime_query,bana tarih ver,tr
148,218,weather_query,weather_query,dışarıda yağmur yağıyor mu olly,tr
149,221,iot_hue_lightchange,iot_hue_lightchange,ışıkları yeşile çevir,tr
150,222,music_likeness,music_likeness,bu şarkıyı favori listeme ekle,tr
151,223,music_query,music_query,bu şarkı hangisi,tr
152,224,iot_hue_lightoff,iot_hue_lightoff,olly ışıkları kapat,tr
153,225,iot_hue_lightoff,iot_hue_lightoff,ışıklar kapansın,tr
154,226,iot_cleaning,iot_cleaning,lütfen yeri temizle,tr
155,227,iot_wemo_on,iot_wemo_on,pilav pişirme soketini aç,tr
156,228,iot_wemo_off,iot_wemo_off,pilav pişirme makinesinin fişi kapat,tr
157,231,takeaway_order,takeaway_order,çin seddi den suşi siparişi vermeme yardımcı olur musun,tr
158,233,alarm_set,alarm_set,öğleden sonra dörde alarm kur,tr
159,234,alarm_set,alarm_set,olly konsere gitmek için öğleden sonra üçte beni uyar,tr
160,235,alarm_set,alarm_set,konsere gitmek için beni öğleden sonra saat üçte uyar,tr
161,236,alarm_query,alarm_query,sabah uçuş için ayarlanmış bir alarmım var mı,tr
162,238,alarm_query,alarm_query,herhangi bir alarm var mı,tr
163,239,weather_query,weather_query,muğla'da yağmur yağıyor mu,tr
164,240,weather_query,weather_query,bugün yağmur var mı,tr
165,241,weather_query,weather_query,dışarıda neler oluyor,tr
166,243,news_query,news_query,dünya da neler oluyor,tr
167,244,news_query,news_query,cambridge'de neler oluyor,tr
168,245,news_query,news_query,bana b.b.c.'den birkaç haber göster,tr
169,246,news_query,news_query,olly bana b. b. c. den birkaç haber göster,tr
170,247,news_query,news_query,c. n. n. haberleri aç,tr
171,248,news_query,news_query,olly teknoloji haberleri,tr
172,249,play_music,play_music,bana biraz hip hop çal,tr
173,252,play_music,play_music,şimdi death metal,tr
174,255,music_query,music_query,olly ben genellikle işten sonra hangi müziği severim,tr
175,257,play_music,play_music,olly benim en favori piyanistimden müzik çal,tr
176,259,audio_volume_down,audio_volume_down,çok gürültülüsün,tr
177,260,audio_volume_up,audio_volume_up,seni zar zor duyabiliyorum olly,tr
178,262,iot_hue_lightchange,iot_hue_lightchange,ışıkları maviye çevir,tr
179,264,iot_hue_lightchange,iot_hue_lightchange,ışıkları parlak mavi yap,tr
180,265,iot_hue_lightoff,iot_hue_lightoff,olly iyi geceler lambaları kapat,tr
181,267,iot_hue_lighton,iot_hue_lighton,burası çok karanlık,tr
182,268,iot_hue_lightup,iot_hue_lightup,ışıkları daha aydınlık yap,tr
183,269,iot_hue_lighton,iot_hue_lighton,olly çok karanlık elimi bile göremiyorum,tr
184,270,datetime_query,datetime_query,saat kaç,tr
185,273,music_query,music_query,şarkı ne,tr
186,274,music_query,music_query,olly şarkı ne,tr
187,275,music_query,music_query,yaz gülü şarkısında şarkı ismiyle şarkıcı ne demek istedi,tr
188,276,music_query,music_query,son bir gece daha şarkısını kim düzenledi,tr
189,277,weather_query,weather_query,paris'te hava nasıl,tr
190,278,weather_query,weather_query,toronto'da hava nasıl,tr
191,280,news_query,news_query,brexit görüşmeleri için son durum nedir,tr
192,282,news_query,news_query,fransa'da sonraki seçimleri kim kazanacak,tr
193,283,weather_query,weather_query,pazar günü güneş bekliyor musun,tr
194,284,weather_query,weather_query,akşam yağmur var mı,tr
195,285,weather_query,weather_query,yarın rüzgârlı mı olacak,tr
196,287,iot_hue_lightup,iot_hue_lightup,kanepenin yanındaki lambayı aydınlat,tr
197,288,iot_hue_lightup,iot_hue_lightup,ışığı aç,tr
198,289,datetime_query,datetime_query,moskova'da saat kaç,tr
199,291,iot_cleaning,iot_cleaning,mutfağı süpür,tr
200,293,news_query,news_query,dünyada neler oluyor,tr
201,294,news_query,news_query,bana haberleri söyle,tr
202,300,weather_query,weather_query,bugün hava nasıl,tr
203,301,weather_query,weather_query,hava nasıl,tr
204,302,general_quirky,general_quirky,hey ne yapıyorsun,tr
205,303,general_greet,general_greet,nasılsın,tr
206,304,general_greet,general_greet,sabah ne var,tr
207,305,takeaway_order,takeaway_order,pizza express den pizza iste,tr
208,306,takeaway_order,takeaway_order,sushi yemek istiyorum bana öğle yemeği sipariş eder misin,tr
209,307,takeaway_order,takeaway_order,alexa bana öğle yemeği için sushi siparişi verebilir misin,tr
210,308,takeaway_order,takeaway_order,mezzaluna dan eve servis sandviç ve çorba sipariş et,tr
211,309,datetime_query,datetime_query,bu yıl kaç gün kaldı,tr
212,313,iot_hue_lightup,iot_hue_lightup,parlaklığı yüzde yirmi arttır,tr
213,314,iot_hue_lightup,iot_hue_lightup,ışıkları tam güce ayarla,tr
214,316,audio_volume_mute,audio_volume_mute,sessiz,tr
215,320,weather_query,weather_query,yarın yanıma şemsiye alayım mı,tr
216,323,iot_wemo_on,iot_wemo_on,akıllı şarjı aç,tr
217,324,news_query,news_query,bana engadget tan teknoloji haberlerini söyle,tr
218,325,weather_query,weather_query,mutlu,tr
219,326,weather_query,weather_query,akşam,tr
220,327,weather_query,weather_query,pazar,tr
221,330,audio_volume_down,audio_volume_down,daha sessiz,tr
222,332,audio_volume_mute,audio_volume_mute,sessiz,tr
223,335,weather_query,weather_query,afyon için hava durumunu öğrenmek istiyorum,tr
224,336,weather_query,weather_query,bolu'da kar yağıyor mu,tr
225,339,iot_coffee,iot_coffee,şimdi bir kahveye ihtiyacım var,tr
226,340,iot_coffee,iot_coffee,bugün ihtiyacı olan birine yardım ettim olly,tr
227,341,iot_coffee,iot_coffee,kahve makinesini başlat,tr
228,342,iot_coffee,iot_coffee,bir kahve hazırla şimdi,tr
229,343,weather_query,weather_query,yarın hava nasıl olacak,tr
230,347,weather_query,weather_query,yarının hava tahminleri nasıl,tr
231,349,weather_query,weather_query,yarın kar var mı,tr
232,350,takeaway_query,takeaway_query,restoran paket servisi siparişi alıyor mu bul,tr
233,351,takeaway_query,takeaway_query,restoran eve servis yapıyor mu araştır,tr
234,352,takeaway_query,takeaway_query,restoran menu paket servisi yapıyor mu,tr
235,354,datetime_query,datetime_query,martın yirmi dokuzu hangi güne denk geliyor,tr
236,356,alarm_query,alarm_query,bir sonraki alarmım hangisi,tr
237,357,alarm_query,alarm_query,lütfen bana alarmlarımı söyle,tr
238,358,alarm_query,alarm_query,bugün alarmım kaçta çalacak,tr
239,359,datetime_query,datetime_query,bana saati söyler misin,tr
240,361,play_music,play_music,google play müzik den sekizinci parçayı çal,tr
241,363,play_music,play_music,benim playlist ten rastgele bir şarkı çal,tr
242,364,datetime_query,datetime_query,günün tarihi ne,tr
243,367,news_query,news_query,haberlerde neler oluyor,tr
244,370,iot_hue_lightoff,iot_hue_lightoff,ışığın kapanmasını istiyorum bunu benim için yapabilir misin,tr
245,374,weather_query,weather_query,bana hava ile ilgili şunların doğru olup olmadığını söyle,tr
246,376,weather_query,weather_query,hava durumu uygulamasını görmek için kontrol et,tr
247,377,music_likeness,music_likeness,bu müziği benim oynatma listeme kaydedebilirsin,tr
248,378,music_likeness,music_likeness,bu müziği kaydetmeye ne dersin,tr
249,380,play_music,play_music,athena dan kafama göre yi çal lütfen,tr
250,381,play_music,play_music,lütfen benim müzik aplikasyonumu aç ve athena dan arsız gönül ü çal,tr
251,382,play_music,play_music,lütfen duman dan seni kendime sakladım şarkı sını çal,tr
252,383,iot_hue_lightoff,iot_hue_lightoff,garaj ışıklarını kapat,tr
253,384,news_query,news_query,hürriyet haber için popüler haberleri kontrol et,tr
254,386,news_query,news_query,hindistan zamanında herhangi bir ölüm haberi var mı,tr
255,390,iot_wemo_on,iot_wemo_on,akıllı prizi aç,tr
256,394,datetime_convert,datetime_convert,hatayda öğlen ise içelde saat kaç,tr
257,395,datetime_convert,datetime_convert,doğu zaman dilimi ile pasifik zaman dilimi arasındaki zaman farkı nedir,tr
258,396,play_music,play_music,ferdi tayfurdan batsın bu dünyayı çal,tr
259,398,weather_query,weather_query,yarın sıcak olacak mı,tr
260,401,play_music,play_music,müzik lütfen,tr
261,402,iot_hue_lightchange,iot_hue_lightchange,evdeki ışık renklerini değiştirebilir misin,tr
262,403,iot_hue_lightchange,iot_hue_lightchange,evdeki ışık renklerini karıştırabilir misin,tr
263,404,iot_hue_lightchange,iot_hue_lightchange,evin içindeki ışık renklerini koyuya çevirir misin,tr
264,408,alarm_query,alarm_query,hangi alarmları kurdum,tr
265,409,alarm_query,alarm_query,bana alarmlarımı oku,tr
266,410,alarm_query,alarm_query,alarmlarım hangi saate kurulu,tr
267,413,iot_hue_lightchange,iot_hue_lightchange,oda ışıklarımı maviye çevir,tr
268,414,iot_hue_lightchange,iot_hue_lightchange,benim odamın ışıklarını romantik renkte bir şeylere değiştir,tr
269,416,alarm_set,alarm_set,benim için sabah sekize bir alarm kur,tr
270,417,alarm_set,alarm_set,saat öğleden sonra dörde alarm kur,tr
271,418,alarm_set,alarm_set,sabah sekiz kırk beş için bana alarm kur,tr
272,422,news_query,news_query,son haberler neler,tr
273,425,news_query,news_query,yarım elma haberleri ne,tr
274,429,iot_hue_lightoff,iot_hue_lightoff,banyo ışıkları kapansın,tr
275,432,weather_query,weather_query,şu anda dışarıda hava nasıl,tr
276,433,weather_query,weather_query,şu an dışarısı ne kadar sıcak,tr
277,435,datetime_query,datetime_query,gelece salı ayın hangi gününe geliyor,tr
278,436,play_music,play_music,dini sohbetler klasörünü çal,tr
279,438,weather_query,weather_query,bugün yağmur yağacak mı,tr
280,440,news_query,news_query,bana yeni başlıkları oku,tr
281,445,music_settings,music_settings,albümü tekrarla,tr
282,446,play_music,play_music,mor ve ötesi çal,tr
283,447,play_music,play_music,eski noel müziği çal,tr
284,449,iot_coffee,iot_coffee,kahve yap,tr
285,450,iot_coffee,iot_coffee,kahve yap olly,tr
286,452,news_query,news_query,seçimlerde kim önde,tr
287,453,datetime_query,datetime_query,bugünün tarihi nedir,tr
288,454,iot_hue_lightchange,iot_hue_lightchange,mutfaktaki ışıkları maviye çevir,tr
289,455,iot_hue_lightchange,iot_hue_lightchange,oturma odasındaki ışıkları kırmızı yap,tr
290,458,audio_volume_up,audio_volume_up,lütfen daha yüksek sesle konuşabilir misin,tr
291,459,audio_volume_up,audio_volume_up,duyamıyorum biraz yüksek sesle konuşabilir misin,tr
292,460,audio_volume_up,audio_volume_up,lütfen yüksek sesle konuş,tr
293,461,play_music,play_music,klasik müzik dinlemek istiyorum,tr
294,462,play_music,play_music,caz dinlemek istiyorum,tr
295,463,datetime_query,datetime_query,hangi gün,tr
296,464,datetime_query,datetime_query,bana tarihi ve saati söyle,tr
297,466,datetime_query,datetime_query,siri günün tarihi ne,tr
298,467,iot_hue_lightup,iot_hue_lightup,yatak odamdaki ışık parlaklığını arttır,tr
299,469,iot_hue_lightoff,iot_hue_lightoff,ışığı kapat,tr
300,470,iot_hue_lightoff,iot_hue_lightoff,lambayı kapat,tr
301,471,iot_hue_lighton,iot_hue_lighton,ışıklar kapansın,tr
302,472,play_music,play_music,sia 'dan şarkılar çal,tr
303,474,play_music,play_music,kenan doğuludan şarkıları aç,tr
304,477,news_query,news_query,brexit ile ilgili haberleri bul,tr
305,478,news_query,news_query,petrol ofisi hakkında haberleri aç,tr
306,479,news_query,news_query,bana trump'ın konuşması hakkında haberleri bul,tr
307,481,datetime_query,datetime_query,diğer saat dilimlerinde saat kaç,tr
308,482,datetime_query,datetime_query,hatay hangi saat diliminde,tr
309,483,music_query,music_query,şarkının ismi ne,tr
310,485,music_query,music_query,şarkının süresi ne kadar,tr
311,487,datetime_query,datetime_query,şu an hindistan da saat kaç,tr
312,488,datetime_query,datetime_query,şu an avustralya'da saat kaç,tr
313,489,weather_query,weather_query,dışarısı kaç derece,tr
314,492,general_joke,general_joke,bildiğin saçma bir fıkra nedir,tr
315,493,general_joke,general_joke,bildiğin saçma bir şaka,tr
316,496,iot_hue_lightchange,iot_hue_lightchange,ışık rengini mavi olarak değiştir,tr
317,497,iot_hue_lightchange,iot_hue_lightchange,rengin mavi olduğunu teyit et,tr
318,498,iot_hue_lightchange,iot_hue_lightchange,ışık rengini kırmızıya değiştir,tr
319,499,datetime_query,datetime_query,bilecik te saat kaç,tr
320,500,datetime_query,datetime_query,aksarayda saat kaç,tr
321,502,audio_volume_mute,audio_volume_mute,sessizlik lütfen,tr
322,503,audio_volume_mute,audio_volume_mute,hoparlörleri kapa,tr
323,504,audio_volume_mute,audio_volume_mute,sessiz lütfen,tr
324,507,alarm_query,alarm_query,alarm saatini doğrula,tr
325,509,alarm_query,alarm_query,hangi alarmlarım var,tr
326,513,weather_query,weather_query,puanlarımıza göre,tr
327,514,audio_volume_mute,audio_volume_mute,ben evde yokken sesi kapatabilir misin,tr
328,518,play_music,play_music,en çok çalınan şarkıları çal,tr
329,519,datetime_query,datetime_query,saat kaç,tr
330,520,datetime_query,datetime_query,şu an saat kaç,tr
331,521,datetime_query,datetime_query,bana zamanı bildir,tr
332,522,weather_query,weather_query,bu mümkün değil,tr
333,524,takeaway_query,takeaway_query,siparişi hazırlamak ne kadar sürer,tr
334,526,general_joke,general_joke,bana rastgele bir fıkra anlat,tr
335,528,general_joke,general_joke,en sevdiğin espri ne,tr
336,529,iot_hue_lightoff,iot_hue_lightoff,kapat,tr
337,530,iot_hue_lightoff,iot_hue_lightoff,uzaktan kumandalı sensörle,tr
338,531,news_query,news_query,en son dünya haberleri nelerdir,tr
339,535,alarm_set,alarm_set,birde hatırlatma alarmına ihtiyacım var,tr
340,537,alarm_set,alarm_set,sabah dokuz için alarmı aç,tr
341,539,music_query,music_query,albüm adını hadiseyle ara,tr
342,542,music_likeness,music_likeness,aşka yürek gerek,tr
343,543,general_joke,general_joke,en komik fıkra hangisi,tr
344,544,general_joke,general_joke,bana edepsiz bir fıkra anlat,tr
345,545,play_music,play_music,çalma listesini çal,tr
346,546,play_music,play_music,hey olly çalma listesini çal,tr
347,547,audio_volume_up,audio_volume_up,lütfen kusura bakma şarkısının sesini yükselt,tr
348,548,music_settings,music_settings,lütfen bulutsuzluk özlemi karışımını düşür,tr
349,549,music_settings,music_settings,lütfen zehra 'dan o müziği yine tekrar et,tr
350,550,music_query,music_query,hangi şarkı çalıyor,tr
351,551,music_query,music_query,bu şarkıyı kim söylüyor,tr
352,553,iot_hue_lightoff,iot_hue_lightoff,oturma odasındaki ışıkları kapat,tr
353,554,iot_hue_lightoff,iot_hue_lightoff,lütfen oturma odası ışıklarını kapanmaya ayarla,tr
354,556,play_music,play_music,biraz fon müziği alabilir miyim,tr
355,557,alarm_query,alarm_query,kaç alarm listelenmiş,tr
356,558,alarm_query,alarm_query,yarın için kurulu herhangi bir alarmım var mı,tr
357,559,alarm_query,alarm_query,yarın için alarm durumu nedir,tr
358,561,alarm_remove,alarm_remove,sabah sekiz alarmımı iptal et,tr
359,563,iot_hue_lightchange,iot_hue_lightchange,ışık rengini değiştir,tr
360,565,iot_hue_lightchange,iot_hue_lightchange,ışıkların rengini değiştir,tr
361,566,weather_query,weather_query,sıcaklık kaç derece,tr
362,567,weather_query,weather_query,ne kadar sıcak,tr
363,568,weather_query,weather_query,ne kadar soğuk,tr
364,569,datetime_query,datetime_query,ayın yirmi üçünde kaç doğum günü var,tr
365,570,datetime_query,datetime_query,ikinci cumartesi ayın on ikinci günü mü,tr
366,571,datetime_query,datetime_query,yirmi ikisi kurban bayramı mı,tr
367,572,datetime_query,datetime_query,günün tarihi ne,tr
368,573,audio_volume_up,audio_volume_up,sesi arttır,tr
369,574,music_settings,music_settings,aynı şarkıyı on dakika boyunca tekrarla,tr
370,575,music_settings,music_settings,sadece belirli şarkıcı şarkılar ını çal,tr
371,577,play_music,play_music,birden ona liste oynat,tr
372,578,play_music,play_music,lütfen sıradaki ilk sanatçıyı oynat,tr
373,579,iot_hue_lightoff,iot_hue_lightoff,balkondaki ışığı kapat,tr
374,580,iot_hue_lightoff,iot_hue_lightoff,lütfen ışığı kapat,tr
375,581,iot_hue_lightoff,iot_hue_lightoff,lambayı kapat,tr
376,583,weather_query,weather_query,yarın öğleden sonra beş buçukta güneş batacak mı,tr
377,584,weather_query,weather_query,bu hafta yağmur ihtimali var mı,tr
378,586,news_query,news_query,son haberler nasıl,tr
379,587,news_query,news_query,trend ne var,tr
380,589,datetime_query,datetime_query,doğu saat diliminde saat kaç,tr
381,591,weather_query,weather_query,şimdi ne kadar sıcak,tr
382,592,play_music,play_music,lütfen müzik aç benim en sevdiğim şarkıları dinlemek istiyorum,tr
383,593,play_music,play_music,şu anda radyolarda dinlenen elli hit şarkıyı dinleyebilir miyi,tr
384,594,play_music,play_music,lütfen şimdi akşam yemeği için klasik müzik çal,tr
385,596,play_music,play_music,tarkan ın hit şarkısını çalabilir misin,tr
386,597,play_music,play_music,grup abdal 'dan benim favori şarkımı dinlemek istiyorum,tr
387,598,audio_volume_up,audio_volume_up,sesi aç,tr
388,599,audio_volume_down,audio_volume_down,sesi kıs,tr
389,600,audio_volume_up,audio_volume_up,sesi artır lütfen,tr
390,602,alarm_set,alarm_set,başlamak için alarmı ayarla,tr
391,603,alarm_set,alarm_set,alarmı geceyarısı başlayacak şekilde değiştir,tr
392,604,weather_query,weather_query,bundan sonraki hafta hava nasıl olacak,tr
393,605,weather_query,weather_query,salı günü hava nasıl olacak,tr
394,606,weather_query,weather_query,hafta sonu için hava durumu tahmini nedir,tr
395,607,audio_volume_mute,audio_volume_mute,yirmi dakikalığına sessize al,tr
396,609,audio_volume_up,audio_volume_up,sonra konuşmayı geri getir,tr
397,611,alarm_set,alarm_set,lütfen ertesi sabah yedi için alarmı kur,tr
398,613,play_music,play_music,yedi no lu çalma listesini çal,tr
399,615,play_music,play_music,benim çalma listemden şarkılar çal,tr
